分析報告開始,分析報告結束,廣告名稱,廣告投遞,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本 - 複本 - 複本",not_delivering,1,,,,,900,6200,總經費,70,1.832812,1.150129,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",inactive,,,,,,203,12400,總經費,14,1.234568,1.514019,2026-03-16,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,218,2700,總經費,7,0.364964,1.647295,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,89,2700,總經費,8,0.852273,1.485232,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,1,7800,總經費,0,,1.166667,2026-03-04,2026-03-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,1,73,actions:leadgen.other,73,2700,總經費,9,1.215805,1.321285,2026-03-16,2026-03-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,882,2200,總經費,56,0.773301,1.144388,2026-03-20,2026-03-24
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,176,2200,總經費,12,1.240695,1.283439,2026-03-20,2026-03-24
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",inactive,,,,,,833,2200,總經費,40,0.91663,1.703346,2026-03-20,2026-03-24
2026-02-23,2026-05-29,0223_影片,not_delivering,,,2,696.5,actions:leadgen.other,1393,11000,總經費,113,1.228364,1.174041,2026-03-20,2026-04-22
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,103,11000,總經費,4,0.423729,1.333333,2026-03-20,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,1,1179,actions:leadgen.other,1179,11000,總經費,72,0.801727,1.772131,2026-03-20,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,1020,2500,總經費,36,0.98085,1.109326,2026-03-20,2026-03-24
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,39,2500,總經費,3,0.892857,1.272727,2026-03-20,2026-03-24
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,,,,517,2500,總經費,30,0.78329,1.461832,2026-03-20,2026-03-24
2026-02-23,2026-05-29,0223_影片,not_delivering,,,,,,378,3000,總經費,27,2.222222,1.149312,2026-03-22,2026-04-01
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,139,3000,總經費,11,1.408451,1.262222,2026-03-22,2026-04-01
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,11,3000,總經費,0,,1.151515,2026-03-22,2026-04-01
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,,,,552,8900,總經費,63,0.895522,1.471449,2026-03-23,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",inactive,,,,,,333,8900,總經費,44,2.362205,1.099567,2026-03-23,2026-04-22
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,,,,67,8700,總經費,3,2.325581,1.323077,2026-03-24,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,,,,,,429,8700,總經費,39,0.993677,1.359951,2026-03-24,2026-04-22
2026-02-23,2026-05-29,0223_影片,not_delivering,,,,,,338,8700,總經費,20,1.353638,1.104673,2026-03-24,2026-04-22
2026-02-23,2026-05-29,0223_影片,inactive,1,,,,,177,8700,總經費,13,1.165501,1.111399,2026-03-24,2026-04-22
2026-02-23,2026-05-29,0311_日系微型商辦,not_delivering,,,1,41,actions:leadgen.other,41,8700,總經費,8,1.818182,1.410256,2026-03-24,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,1,1,1473,actions:leadgen.other,1473,4700,總經費,63,0.746027,1.673724,2026-02-23,2026-03-16
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,3,4800,總經費,1,5.555556,1.2,2026-03-06,2026-03-16
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,1,790,actions:leadgen.other,790,1500,總經費,45,0.812065,1.574429,2026-03-13,2026-03-16
