分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,粉絲專頁互動,開始,結束時間
2024-03-16,2026-05-29,35-60/西屯南屯南區/包租公/租賃管理族,inactive,2093,1200,,,1,1110,actions:leadgen.other,1110,250,每日,104,4.968944,451,2026-01-06,進行中
2024-03-16,2026-05-29,30-65/水湳北屯/富人興趣2.0,inactive,1028,846,,,,,,553,250,每日,46,4.474708,82,2026-01-08,進行中
2024-03-16,2026-05-29,30-60/北屯水湳/在地上班族(0116改區域,inactive,9014,5375,1,,6,926.16666667,actions:leadgen.other,5557,250,每日,348,3.860661,1733,2026-01-08,進行中
2024-03-16,2026-05-29,25-65/北屯再行銷,inactive,1093,887,,,,,,561,250,每日,40,3.659652,38,2026-01-08,進行中
2024-03-16,2026-05-29,30-60/逢甲中科/科技/傳產/成家(0411,inactive,23822,11261,2,1,20,744.25,actions:leadgen.other,14885,300,每日,1100,4.61758,5517,2026-01-11,進行中
2024-03-16,2026-05-29,"33-65 / 靜宜大雅中清 / 家庭興趣(0111調區域",inactive,722,561,,,,,,482,250,每日,19,2.631579,62,2026-01-11,進行中
2024-03-16,2026-05-29,"30-60 / 南台中 / 科技置產男(0111調區域",inactive,646,470,,,,,,468,250,每日,30,4.643963,132,2026-01-11,進行中
2024-03-16,2026-05-29,30-55/西屯水湳太原/汽車/重機愛好者(0124調區域,inactive,2034,1570,1,,,,,1408,300,每日,106,5.211406,609,2026-01-21,進行中
2024-03-16,2026-05-29,28-50/大雅豐原神岡/新婚成家(0124調區域,inactive,1491,1152,,,1,992,actions:leadgen.other,992,300,每日,44,2.95104,216,2026-01-23,進行中
2024-03-16,2026-05-29,27-50/西屯北屯南屯西區/追星/演唱會,inactive,955,783,,,,,,962,300,每日,23,2.408377,200,2026-01-23,進行中
2024-03-16,2026-05-29,35-60/西屯水湳/youtuber/進口代理商/投資興趣,inactive,1175,909,,,,,,946,300,每日,68,5.787234,228,2026-01-26,進行中
