分析報告開始,分析報告結束,廣告名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,515,10,1.976285,1.338624,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,753,21,2.015355,1.102646,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,1,1111,actions:leadgen.other,1111,34,1.122853,1.081815,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,14,722.42857143,actions:leadgen.other,10114,389,3.036216,1.35462,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,738,21,1.735537,1.092058,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,10,684.9,actions:leadgen.other,6849,359,1.727706,1.134163,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,1714,55,3.271862,1.056568,2025-11-10,進行中
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,281,7,2.147239,1.304,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,837,18,1.584507,1.162743,2025-11-10,進行中
2025-10-28,2026-05-29,1028_不出門(影片),,,1,369,actions:leadgen.other,369,11,1.861252,1.417266,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,3,1094.66666667,actions:leadgen.other,3284,191,2.590884,1.129116,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,4,858.75,actions:leadgen.other,3435,123,2.872489,1.235074,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,1,874,actions:leadgen.other,874,35,1.547303,1.022604,2025-11-10,進行中
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,2,1,6.25,1.066667,2025-11-06,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,673,25,2.095557,1.162768,2025-10-30,進行中
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,59,3,3.448276,1.115385,2025-11-13,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,428,13,1.937407,1.0387,2025-11-13,進行中
2025-10-28,2026-05-29,1028_EP02(影片),1,,3,776,actions:leadgen.other,2328,170,1.858736,1.117546,2025-11-13,進行中
2025-10-28,2026-05-29,1028_EP02(影片),3,1,4,1037,actions:leadgen.other,4148,254,1.337405,1.251615,2025-11-13,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,17,1,3.448276,1.035714,2025-11-13,進行中
2025-10-28,2026-05-29,1028_不出門(影片),1,,,,,470,10,1.305483,1.291737,2025-11-13,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,851,22,2.350427,1.325779,2025-10-30,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,41,4,8.510638,1.175,2025-11-13,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,1543,50,2.19106,1.665693,2025-11-08,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,567,17,1.006513,1.072381,2025-11-04,進行中
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,107,5,2.994012,1.176056,2025-11-05,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,687,28,1.520087,1.057405,2025-11-05,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,186,4,1.652893,1.110092,2025-11-05,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,604,25,1.662234,1.065156,2025-11-05,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,1,2348,actions:leadgen.other,2348,145,1.937208,1.079775,2025-11-06,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,4,713,actions:leadgen.other,2852,96,2.731929,1.169774,2025-11-06,進行中
2025-10-28,2026-05-29,1028_不出門(影片),,,1,1482,actions:leadgen.other,1482,41,2.24904,1.614703,2025-10-30,進行中
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,12,0,0,1.090909,2025-11-03,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,1,935,actions:leadgen.other,935,33,2.282158,1.201995,2025-11-04,進行中
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,6,1,4.166667,1.090909,2025-11-04,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,969,52,2.235598,1.124215,2025-11-07,進行中
