分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2024-03-16,2026-06-03,"28-65/ 商業 業務相關職業",inactive,2930,1530,,,,,,1614,1700,總經費,40,0.409556,1.915033,2025-02-25,2025-03-04
2024-03-16,2026-06-03,35-65/東區北區太平/自營商/親子教育/大學教授/精品-1510,inactive,12593,4684,5,1,9,371.44444444,actions:leadgen.other,3343,6800,總經費,641,1.024379,2.688514,2025-02-26,2025-03-31
2024-03-16,2026-06-03,30-65/台中海線+市區/精算師興趣-1510,inactive,10324,5217,5,1,5,550.6,actions:leadgen.other,2753,8100,總經費,566,1.152654,1.978915,2025-02-26,2025-04-30
2024-03-16,2026-06-03,32-60/台中科技走廊/工程師興趣/成家,inactive,962,646,,,,,,624,6300,總經費,4,0.10395,1.489164,2025-03-04,2025-03-31
2024-03-16,2026-06-03,32-65/西屯北屯/置產+醫生興趣,inactive,1061,724,,,,,,855,5700,總經費,17,0.377003,1.46547,2025-03-06,2025-03-31
2024-03-16,2026-06-03,32-60/澄石+藏富+北屯高總1%,inactive,962,671,,,,,,676,5000,總經費,14,0.4158,1.433681,2025-03-06,2025-03-31
2024-03-16,2026-06-03,30-55/彰化南投/傳產二代/成家/名車,inactive,1840,1148,,,,,,1023,5700,總經費,16,0.271739,1.602787,2025-03-10,2025-03-31
2024-03-16,2026-06-03,30-65/豐原后里潭子/製造業/科技業/自營商/露營,inactive,247,204,,,,,,164,4500,總經費,1,,1.210784,2025-03-10,2025-03-31
2024-03-16,2026-06-03,30-55/青埔竹科/工程師/投資置產/換屋(0314調),inactive,6946,3108,,,2,1578,actions:leadgen.other,3156,4300,總經費,101,0.388713,2.234878,2025-03-11,2025-04-17
2024-03-16,2026-06-03,"30-60/ 豐原后里 / 在地自營商興趣 LL(0325調)",inactive,6021,2637,,,7,537.85714286,actions:leadgen.other,3765,4300,總經費,120,0.498256,2.283276,2025-03-13,2025-03-31
