分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,12247,9494,2,2,5,393.8,actions:leadgen.other,1969,300,每日,274,2.237283,1.289973,2026-05-20,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,inactive,3175,2379,,,1,908,actions:leadgen.other,908,300,每日,64,2.015748,1.334594,2026-05-20,進行中
2026-04-09,2026-07-21,0508_黑馬B版,inactive,839,773,,,,,,163,300,每日,18,2.145411,1.085382,2026-05-22,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,5671,4392,,,3,413.33333333,actions:leadgen.other,1240,300,每日,119,2.098395,1.291211,2026-05-22,進行中
2026-04-09,2026-07-21,0515_AI影片V2,not_delivering,18,17,,,,,,1,300,每日,1,5.555556,1.058824,2026-05-22,進行中
2026-04-09,2026-07-21,0424_南興角地V2,inactive,2783,1965,,,,,,552,300,每日,73,2.623069,1.416285,2026-05-23,進行中
2026-04-09,2026-07-21,0518_好市多森活圈,not_delivering,2438,1550,,,1,691,actions:leadgen.other,691,300,每日,29,1.1895,1.572903,2026-05-23,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,360,251,,,,,,88,300,每日,17,4.722222,1.434263,2026-05-23,進行中
2026-04-09,2026-07-21,20260707_先享受,not_delivering,23,18,,,,,,2,300,每日,0,0,1.277778,2026-07-01,進行中
2026-04-09,2026-07-21,0508_黑馬B版,inactive,11946,7454,6,4,8,239.71428571,actions:leadgen.other,1678,200,每日,295,2.469446,1.602629,2026-06-12,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,3486,2860,,2,1,590,actions:leadgen.other,590,200,每日,105,3.012048,1.218881,2026-06-12,進行中
2026-04-09,2026-07-21,20260612_雙面煦光,inactive,9,9,,,,,,2,200,每日,0,0,1,2026-06-12,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,2249,1716,1,1,2,439,actions:leadgen.other,439,200,每日,93,4.135171,1.310606,2026-06-12,進行中
2026-04-09,2026-07-21,0508_黑馬B版,inactive,8030,5501,3,1,5,306.2,actions:leadgen.other,1531,300,每日,201,2.503113,1.459735,2026-06-24,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,3967,2801,2,2,3,538.5,actions:leadgen.other,1077,300,每日,135,3.403075,1.41628,2026-06-24,進行中
2026-04-09,2026-07-21,0424_南興角地V2,inactive,17430,9980,,2,10,268.5,actions:leadgen.other,2685,300,每日,581,3.333333,1.746493,2026-06-24,進行中
2026-04-09,2026-07-21,0424_南興角地V2,inactive,14239,8392,1,1,8,304.375,actions:leadgen.other,2435,300,每日,511,3.588735,1.696735,2026-07-01,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,1359,1127,,,,,,263,300,每日,34,2.50184,1.205856,2026-07-01,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,831,709,,,,,,232,300,每日,31,3.730445,1.172073,2026-07-01,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,4439,3448,1,1,2,367,actions:leadgen.other,734,250,每日,110,2.478036,1.287413,2026-07-01,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,inactive,214,178,,,,,,43,250,每日,4,1.869159,1.202247,2026-07-01,進行中
2026-04-09,2026-07-21,0424_南興角地V2,inactive,2215,1896,,,,,,427,250,每日,74,3.340858,1.168249,2026-07-01,進行中
2026-04-09,2026-07-21,0508_黑馬B版,active,137,126,,,,,,18,200,每日,4,2.919708,1.087302,2026-07-01,進行中
2026-04-09,2026-07-21,0424_南興角地V2,active,12688,7207,,,9,274.44444444,actions:leadgen.other,2470,200,每日,388,3.058008,1.760511,2026-07-01,進行中
2026-04-09,2026-07-21,0508_黑馬B版,active,101,94,,,,,,10,200,每日,0,0,1.074468,2026-07-03,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,1972,1709,2,1,,,,397,200,每日,55,2.789047,1.153891,2026-07-03,進行中
2026-04-09,2026-07-21,0424_南興角地V2,active,10333,6861,,1,9,199.55555556,actions:leadgen.other,1796,200,每日,280,2.709765,1.506049,2026-07-03,進行中
2026-04-09,2026-07-21,20260707_先享受,not_delivering,200,147,,,,,,47,300,每日,3,1.5,1.360544,2026-06-24,進行中
2026-04-09,2026-07-21,0424_南興角地V2,inactive,790,697,,,,,,162,250,每日,26,3.291139,1.133429,2026-06-08,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,1262,1069,,,,,,242,250,每日,21,1.664025,1.180543,2026-06-08,進行中
2026-04-09,2026-07-21,0515_AI影片V2,not_delivering,52,50,,,,,,10,250,每日,0,0,1.04,2026-06-08,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,208,186,,,,,,50,250,每日,3,1.442308,1.11828,2026-06-09,進行中
2026-04-09,2026-07-21,0522_北屯表參道A版,not_delivering,8,8,,,,,,0,250,每日,0,0,1,2026-06-09,進行中
2026-04-09,2026-07-21,0424_南興角地V2,inactive,3305,2820,,,1,637,actions:leadgen.other,637,250,每日,86,2.602118,1.171986,2026-06-09,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,16,16,,,,,,4,250,每日,0,0,1,2026-06-11,2026-06-15
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,587,527,,,,,,211,250,每日,17,2.896082,1.113852,2026-06-11,2026-06-15
2026-04-09,2026-07-21,0424_南興角地V2,inactive,1896,1520,,,,,,305,250,每日,65,3.42827,1.247368,2026-06-11,2026-06-15
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,3020,2413,1,,2,399,actions:leadgen.other,798,250,每日,94,3.112583,1.251554,2026-06-11,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,inactive,286,248,,,,,,76,250,每日,11,3.846154,1.153226,2026-06-11,進行中
2026-04-09,2026-07-21,20260612_雙面煦光,not_delivering,474,372,,,,,,148,250,每日,22,4.64135,1.274194,2026-06-11,進行中
2026-04-09,2026-07-21,20260612_雙面煦光,not_delivering,41,39,,,,,,12,250,每日,1,2.439024,1.051282,2026-06-12,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,3452,2690,2,1,3,367.5,actions:leadgen.other,735,250,每日,101,2.92584,1.283271,2026-06-12,進行中
2026-04-09,2026-07-21,20260612_雙面煦光,not_delivering,8,8,,,,,,0,250,每日,0,0,1,2026-06-11,2026-06-15
2026-04-09,2026-07-21,20260612_雙面煦光,not_delivering,800,724,,,,,,222,250,每日,19,2.375,1.104972,2026-05-27,進行中
2026-04-09,2026-07-21,0508_黑馬B版,inactive,3131,2861,,,,,,519,250,每日,61,1.948259,1.094373,2026-05-27,進行中
2026-04-09,2026-07-21,0508_黑馬B版,inactive,1737,1474,,,,,,391,300,每日,37,2.130109,1.178426,2026-05-28,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,1424,1282,,,,,,331,300,每日,48,3.370787,1.110764,2026-05-28,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,1596,1178,,,1,489,actions:leadgen.other,489,300,每日,28,1.754386,1.354839,2026-05-28,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,3210,2921,,,1,771,actions:leadgen.other,771,300,每日,108,3.364486,1.098939,2026-05-29,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,903,791,,,,,,163,300,每日,20,2.214839,1.141593,2026-05-29,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,1544,1368,,,,,,309,300,每日,29,1.878238,1.128655,2026-05-29,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,1033,906,,,,,,133,300,每日,16,1.548887,1.140177,2026-06-01,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,958,864,,,,,,205,300,每日,21,2.192067,1.108796,2026-06-01,進行中
2026-04-09,2026-07-21,0602_無痛換(影片),inactive,251,215,,,,,,156,250,每日,19,7.569721,1.167442,2026-05-27,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,inactive,1614,1211,,,,,,278,250,每日,11,0.681537,1.332783,2026-06-04,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,2708,2322,,,1,491,actions:leadgen.other,491,250,每日,81,2.991137,1.166236,2026-06-04,進行中
2026-04-09,2026-07-21,0602_無痛換(影片),inactive,187,173,,,,,,48,250,每日,2,1.069519,1.080925,2026-06-04,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,3309,2535,,,2,352,actions:leadgen.other,704,250,每日,62,1.873678,1.305325,2026-06-04,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,1039,951,,,,,,205,250,每日,39,3.753609,1.092534,2026-06-04,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,2025,1770,2,,,,,554,300,每日,62,3.061728,1.144068,2026-05-20,進行中
2026-04-09,2026-07-21,0512_雙捷運,inactive,814,647,,,,,,233,300,每日,18,2.211302,1.258114,2026-05-20,進行中
2026-04-09,2026-07-21,0518_好市多森活圈,inactive,219,186,,,,,,72,300,每日,9,4.109589,1.177419,2026-05-20,進行中
2026-04-09,2026-07-21,0507_黑馬A版,not_delivering,4790,3763,,,2,456.5,actions:leadgen.other,913,300,每日,128,2.672234,1.272921,2026-05-20,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,2340,1368,,,,,,558,300,每日,39,1.666667,1.710526,2026-05-20,進行中
2026-04-09,2026-07-21,0522_北屯表參道A版,not_delivering,875,550,,,,,,261,300,每日,14,1.6,1.590909,2026-05-20,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,19,19,,,,,,0,300,每日,0,0,1,2026-05-20,進行中
