0508_黑馬B版 | spend=10 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.074468 start=2026-07-03 end=進行中
0410_訂簽68萬 | spend=397 leads=None cpl=None ctr=2.789047 clicks=55.0 freq=1.153891 start=2026-07-03 end=進行中
20260707_先享受 | spend=47 leads=None cpl=None ctr=1.5 clicks=3.0 freq=1.360544 start=2026-06-24 end=進行中
0424_南興角地V2 | spend=162 leads=None cpl=None ctr=3.291139 clicks=26.0 freq=1.133429 start=2026-06-08 end=進行中
0522_北屯表參道B版 | spend=242 leads=None cpl=None ctr=1.664025 clicks=21.0 freq=1.180543 start=2026-06-08 end=進行中
0515_AI影片V2 | spend=10 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.04 start=2026-06-08 end=進行中
0508_黑馬B版 | spend=50 leads=None cpl=None ctr=1.442308 clicks=3.0 freq=1.11828 start=2026-06-09 end=進行中
0522_北屯表參道A版 | spend=0 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-06-09 end=進行中
0508_黑馬B版 | spend=4 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-06-11 end=2026-06-15
0410_訂簽68萬 | spend=211 leads=None cpl=None ctr=2.896082 clicks=17.0 freq=1.113852 start=2026-06-11 end=2026-06-15
0424_南興角地V2 | spend=305 leads=None cpl=None ctr=3.42827 clicks=65.0 freq=1.247368 start=2026-06-11 end=2026-06-15
0522_北屯表參道B版 | spend=76 leads=None cpl=None ctr=3.846154 clicks=11.0 freq=1.153226 start=2026-06-11 end=進行中
20260612_雙面煦光 | spend=148 leads=None cpl=None ctr=4.64135 clicks=22.0 freq=1.274194 start=2026-06-11 end=進行中
20260612_雙面煦光 | spend=12 leads=None cpl=None ctr=2.439024 clicks=1.0 freq=1.051282 start=2026-06-12 end=進行中
20260612_雙面煦光 | spend=0 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-06-11 end=2026-06-15
20260612_雙面煦光 | spend=222 leads=None cpl=None ctr=2.375 clicks=19.0 freq=1.104972 start=2026-05-27 end=進行中
0508_黑馬B版 | spend=519 leads=None cpl=None ctr=1.948259 clicks=61.0 freq=1.094373 start=2026-05-27 end=進行中
