分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2025-10-28,2026-06-01,"30-60/ 中科中清/ 傳產製造貿易",inactive,2,2,,,,,,0,3000,總經費,0,0,1,1,2026-01-21,2026-02-01
2025-10-28,2026-06-01,"30-60/ 中科中清/ 傳產製造食品加工",inactive,9,9,,,,,,29,3000,總經費,1,11.111111,1,3,2026-01-21,2026-02-01
2025-10-28,2026-06-01,"30-45 / 西屯西區 / 攝影師興趣(預)",inactive,8057,6031,,,2,1619.5,actions:leadgen.other,3239,300,每日,131,1.625915,1.335931,1287,2026-02-12,進行中
2025-10-28,2026-06-01,"30-60/ 北屯潭子/ 傳產製造食品加工(0304改地點)",inactive,8417,5556,1,,7,753.71428571,actions:leadgen.other,5276,300,每日,282,3.350362,1.514939,2569,2026-02-12,進行中
2025-10-28,2026-06-01,"28-45 / 北屯北區 / 社群行銷直銷(預)",inactive,8163,6938,,,1,2702,actions:leadgen.other,2702,300,每日,85,1.041284,1.176564,1081,2026-02-12,進行中
2025-10-28,2026-06-01,"28-45 / 北屯潭子 / 新婚二代(預)",inactive,8723,6925,,,1,3007,actions:leadgen.other,3007,300,每日,151,1.731056,1.259639,1105,2026-02-12,進行中
2025-10-28,2026-06-01,"30-50 / 太平東區 / 店經理主管(預)",inactive,9237,5860,,1,4,1312.25,actions:leadgen.other,5249,300,每日,259,2.803941,1.57628,1983,2026-02-12,進行中
2025-10-28,2026-06-01,"30-50 / 北屯 / 公務員首購(預)",inactive,5726,5062,,,2,1036,actions:leadgen.other,2072,300,每日,110,1.921062,1.131173,1045,2026-02-12,進行中
2025-10-28,2026-06-01,"30-45 / 東區北區 / 小型自營商(0304改地點)",inactive,21160,15233,1,1,8,924.625,actions:leadgen.other,7397,300,每日,309,1.460302,1.389089,2891,2026-02-13,進行中
2025-10-28,2026-06-01,"30-50 / 北屯潭子 / 家庭育兒寵物",inactive,3600,3046,,,,,,1312,300,每日,44,1.222222,1.181878,448,2026-02-13,進行中
2025-10-28,2026-06-01,"30-50 / 西屯西區 / 電動車金融",inactive,2970,2626,,,,,,1220,300,每日,31,1.043771,1.130998,393,2026-02-13,進行中
