分析報告開始,分析報告結束,廣告組合名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,"30-60/ 中科中清/ 傳產製造食品加工",,,,,,29,1,11.111111,1,2026-01-21,2026-02-01
2025-10-28,2026-05-29,"27-55 / 中區北區洲際 / 跑咖追星出國2.0",1,1,11,814.90909091,actions:leadgen.other,8964,425,1.960875,1.331736,2025-11-26,2026-04-24
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3零售1房產",,,2,959,actions:leadgen.other,1918,84,1.871658,1.113924,2025-12-17,2025-12-29
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3汽車業1房產",,,,,,391,14,1.464435,1.033514,2025-12-17,2025-12-28
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3傳產1房產",,,,,,389,15,1.842752,1.035623,2025-12-17,2025-12-28
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3金融1房產",2,,8,524,actions:leadgen.other,4192,232,2.604108,1.271624,2025-12-19,2026-01-08
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3教育1房產",,,1,1529,actions:leadgen.other,1529,68,2.33677,1.137608,2025-12-19,2025-12-31
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3美食1房產",,,,,,944,41,2.466907,1.255287,2025-12-22,2026-01-01
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3室設1房產",,,,,,912,37,2.59467,1.228252,2025-12-23,2026-01-04
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3科技1房產",,,,,,764,23,2.693208,1.114883,2025-12-26,2026-01-08
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3保險1房產",1,,,,,856,32,2.242467,1.115715,2025-12-26,2026-01-08
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3媒體1房產",,,1,1412,actions:leadgen.other,1412,77,2.8051,1.150461,2025-12-29,2026-01-06
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 /  3食品1房產",,,,,,577,29,3.785901,1.124816,2025-12-29,2026-01-11
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 /  3自營商1房產",,,,,,572,20,2.541296,1.027415,2025-12-31,2026-01-12
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3設計1房產",,,1,1472,actions:leadgen.other,1472,83,2.680013,1.235834,2025-12-31,2026-01-21
2025-10-28,2026-05-29,"30-55 / 北屯北區太平 / 3美股1房產",1,,,,,1137,53,2.691722,1.155516,2026-01-02,2026-01-21
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3戶外1房產",,,,,,708,17,2.165605,1.149341,2026-01-05,2026-01-16
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3社群1房產",,,,,,640,24,2.156334,1.10198,2026-01-05,2026-01-16
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3文青1房產",,,,,,620,12,1.534527,1.138282,2026-01-05,2026-01-16
2025-10-28,2026-05-29,"30-50 / 北屯北區太平 / 3幼教1房產",1,,,,,710,35,3.358925,1.15011,2026-01-05,2026-01-16
2025-10-28,2026-05-29,"30-50 / 北屯西屯潭子 /3投行1房產",,,,,,660,23,1.416256,1.043702,2026-01-07,2026-01-18
2025-10-28,2026-05-29,"30-50 / 北屯西屯潭子 / 3美業1房產",,,,,,765,21,2.158273,1.134033,2026-01-07,2026-01-18
2025-10-28,2026-05-29,"30-50 / 北屯西屯潭子 / 3科技1房產",,,,,,709,26,1.911765,1.057543,2026-01-07,2026-01-18
2025-10-28,2026-05-29,"30-50 / 北屯西屯潭子 / 3出國1房產",1,,,,,677,28,1.669648,1.07638,2026-01-07,2026-01-18
2025-10-28,2026-05-29,"30-60/ 北屯潭子/ 傳產製造食品加工(0304改地點)",1,,7,753.71428571,actions:leadgen.other,5276,282,3.350362,1.514939,2026-02-12,進行中
2025-10-28,2026-05-29,"30-45 / 西屯西區 / 攝影師興趣(預)",,,2,1619.5,actions:leadgen.other,3239,131,1.625915,1.335931,2026-02-12,進行中
2025-10-28,2026-05-29,"28-45 / 北屯北區 / 社群行銷直銷(預)",,,1,2702,actions:leadgen.other,2702,85,1.041284,1.176564,2026-02-12,進行中
2025-10-28,2026-05-29,"28-45 / 北屯潭子 / 新婚二代(預)",,,1,3007,actions:leadgen.other,3007,151,1.731056,1.259639,2026-02-12,進行中
2025-10-28,2026-05-29,"30-50 / 太平東區 / 店經理主管(預)",,1,4,1312.25,actions:leadgen.other,5249,259,2.803941,1.57628,2026-02-12,進行中
2025-10-28,2026-05-29,"30-50 / 北屯 / 公務員首購(預)",,,2,1036,actions:leadgen.other,2072,110,1.921062,1.131173,2026-02-12,進行中
2025-10-28,2026-05-29,"30-45 / 東區北區 / 小型自營商(0304改地點)",1,1,8,924.625,actions:leadgen.other,7397,309,1.460302,1.389089,2026-02-13,進行中
2025-10-28,2026-05-29,"30-50 / 北屯潭子 / 家庭育兒寵物",,,,,,1312,44,1.222222,1.181878,2026-02-13,進行中
2025-10-28,2026-05-29,"30-50 / 西屯西區 / 電動車金融",,,,,,1220,31,1.043771,1.130998,2026-02-13,進行中
2025-10-28,2026-05-29,"30-50 / 北屯潭子 / 軍公教",,,,,,1953,81,1.989195,1.222456,2026-02-13,進行中
2025-10-28,2026-05-29,"30-45 / 北屯北區 / 業務性質",,,1,1878,actions:leadgen.other,1878,75,1.387091,1.184706,2026-02-13,進行中
2025-10-28,2026-05-29,"30-50/ 北屯潭子/ 金融投資(0317改地點)",1,,5,864,actions:leadgen.other,4320,178,2.161243,1.474136,2026-03-04,進行中
2025-10-28,2026-05-29,"30-50 / 中科中清 / 銀行保險業(0317改地點)",1,,5,942.6,actions:leadgen.other,4713,193,1.481993,1.408044,2026-03-04,進行中
2025-10-28,2026-05-29,"30-45 / 東區北區 / 零售批發自營",,,,,,888,33,2.25256,1.220833,2026-03-06,進行中
2025-10-28,2026-05-29,"30-50 / 北屯潭子/ 美食娛樂",,,,,,886,42,2.976612,1.222704,2026-03-06,進行中
2025-10-28,2026-05-29,"30-50 / 北屯潭子 / 出口貿易汽車",,,,,,740,35,2.836305,1.294858,2026-03-09,進行中
2025-10-28,2026-05-29,"30-50 / 北屯西屯 / 銷售業務",,,,,,927,37,1.777991,1.250601,2026-03-09,進行中
2025-10-28,2026-05-29,"35-55 / 北屯太平 / 網路時事長輩",,,,,,700,28,1.839685,1.500986,2026-03-09,進行中
2025-10-28,2026-05-29,"30-50 / 中科中清 / 程式運動電玩",,,1,1468,actions:leadgen.other,1468,53,1.706375,1.65565,2026-03-11,進行中
2025-10-28,2026-05-29,"30-50 / 北屯潭子 / 自由業",,,3,702.33333333,actions:leadgen.other,2107,74,1.591398,1.465028,2026-03-11,進行中
